Date,Open,High,Low,Close,Volume
1/3/2006,10.85,10.92,10.67,10.74,18468800
1/4/2006,10.71,10.8,10.67,10.69,15832000
1/5/2006,10.69,10.83,10.69,10.76,9256000
1/6/2006,10.79,10.83,10.71,10.72,7573600
1/9/2006,10.72,10.98,10.72,10.88,10441600
1/10/2006,10.81,10.98,10.8,10.9,11837600
1/11/2006,10.91,11.01,10.88,10.91,10372800
1/12/2006,11.02,11.02,10.75,10.79,11159200
1/13/2006,10.84,10.89,10.68,10.78,9612000
1/17/2006,10.8,10.8,10.6,10.6,11075200
1/18/2006,10.63,10.68,10.54,10.66,9202400
1/19/2006,10.53,10.62,10.5,10.59,8888800
1/20/2006,10.64,10.7,10.48,10.52,16132000
1/23/2006,10.45,10.5,10.18,10.43,38273600
1/24/2006,10.54,10.56,10.39,10.5,16800000
1/25/2006,10.51,10.57,10.49,10.53,10268800
1/26/2006,10.64,10.64,10.47,10.5,15965600
1/27/2006,10.53,10.58,10.38,10.39,17025600
1/30/2006,10.33,10.35,10.08,10.22,78979200
1/31/2006,10.22,10.26,10.11,10.12,20348000
2/1/2006,10.16,10.52,10.15,10.39,35525600
2/2/2006,10.4,10.49,10.38,10.42,20464800
2/3/2006,10.36,10.48,10.34,10.46,15826400
2/6/2006,10.68,10.72,10.5,10.52,19246400
2/7/2006,10.54,10.59,10.4,10.43,10368800
2/8/2006,10.46,10.62,10.44,10.55,18636800
2/9/2006,10.48,10.56,10.45,10.49,9232800
2/10/2006,10.59,10.59,10.38,10.56,10339200
2/13/2006,10.52,10.54,10.4,10.54,9512800
2/14/2006,10.54,10.58,10.45,10.5,11758400
2/15/2006,10.53,10.62,10.47,10.53,9453600
2/16/2006,10.62,10.64,10.54,10.6,6254400
2/17/2006,10.53,10.65,10.51,10.61,8001600
2/21/2006,10.6,10.66,10.56,10.64,8744000
2/22/2006,10.66,10.87,10.64,10.74,12035200
2/23/2006,10.74,10.93,10.72,10.82,10108000
2/24/2006,10.82,10.94,10.8,10.9,11014400
2/27/2006,10.9,10.96,10.83,10.91,7179200
2/28/2006,10.85,10.98,10.83,10.85,18676000
3/1/2006,10.83,10.89,10.78,10.79,10713600
3/2/2006,10.72,10.8,10.67,10.76,13876000
3/3/2006,10.73,10.84,10.72,10.79,8387200
3/6/2006,10.81,11,10.78,10.86,14712800
3/7/2006,10.71,10.71,10.5,10.61,24400000
3/8/2006,10.59,10.64,10.56,10.62,19901600
3/9/2006,10.6,10.69,10.59,10.67,11776000
3/10/2006,10.67,10.72,10.6,10.62,9075200
3/13/2006,10.62,10.63,10.53,10.56,9057600
3/14/2006,10.55,10.58,10.52,10.58,8360000
3/15/2006,10.63,10.66,10.55,10.63,11728000
3/16/2006,10.62,10.81,10.62,10.75,12339200
3/17/2006,10.72,10.74,10.66,10.68,11220800
3/20/2006,10.62,10.78,10.61,10.69,15207200
3/21/2006,10.69,10.69,10.59,10.62,19258400
3/22/2006,10.61,10.9,10.56,10.85,38750400
3/23/2006,10.84,10.89,10.75,10.75,23581600
3/24/2006,10.76,10.84,10.69,10.74,12403200
3/27/2006,10.73,10.73,10.63,10.68,8194400
3/28/2006,10.66,10.73,10.6,10.65,8464000
3/29/2006,10.64,10.69,10.62,10.69,6694400
3/30/2006,10.74,10.74,10.58,10.62,11872000
3/31/2006,10.62,10.65,10.58,10.64,8536800
4/3/2006,10.64,10.73,10.58,10.61,11781600
4/4/2006,10.61,10.65,10.5,10.63,7724000
4/5/2006,10.61,10.64,10.53,10.57,7793600
4/6/2006,10.59,10.64,10.49,10.61,11317600
4/7/2006,10.64,10.67,10.44,10.45,10429600
4/10/2006,10.48,10.51,10.34,10.39,10723200
4/11/2006,10.44,10.49,10.29,10.31,10032000
4/12/2006,10.31,10.35,10.25,10.32,11932800
4/13/2006,10.33,10.46,10.32,10.41,13517600
4/17/2006,10.4,10.41,10.16,10.23,16674400
4/18/2006,10.22,10.27,10.19,10.22,17185600
4/19/2006,10.22,10.3,10.19,10.26,9879200
4/20/2006,10.26,10.38,10.26,10.35,7444800
4/21/2006,10.39,10.39,10.32,10.38,9226400
4/24/2006,10.38,10.38,10.31,10.34,11511200
4/25/2006,10.32,10.35,10.21,10.25,9820000
4/26/2006,10.28,10.31,10.12,10.16,12480000
4/27/2006,10.04,10.24,10.04,10.23,10345600
4/28/2006,10.27,10.3,10.16,10.23,6699200
5/1/2006,10.25,10.3,10.19,10.21,9552800
5/2/2006,10.26,10.29,10.2,10.2,7672800
5/3/2006,10.2,10.22,10.07,10.14,11987200
5/4/2006,10.17,10.24,10.12,10.12,8754400
5/5/2006,10.15,10.2,10.12,10.19,6836000
5/8/2006,10.2,10.3,10.19,10.28,7833600
5/9/2006,10.29,10.36,10.27,10.28,6925600
5/10/2006,10.3,10.36,10.28,10.29,7316000
5/11/2006,10.37,10.39,10.14,10.16,8680000
5/12/2006,10.12,10.24,10.12,10.19,10314400
5/15/2006,10.12,10.21,10.12,10.2,9813600
5/16/2006,10.23,10.26,10.06,10.08,12880000
5/17/2006,10.01,10.11,9.97,10.04,15206400
5/18/2006,9.94,10.12,9.94,9.97,11856800
5/19/2006,9.95,9.96,9.72,9.84,31140800
5/22/2006,9.81,9.88,9.67,9.75,23106400
